open,high,low,close,volume,time,oi,time_str
100.0,125.4,100.0,117.6,28075,2024-08-06 09:15:00,1144950,2024-08-06T09:15:00+05:30
116.15,116.15,113.0,114.3,53350,2024-08-06 09:15:05,1144950,2024-08-06T09:15:05+05:30
118.8,121.15,118.8,121.15,70400,2024-08-06 09:15:10,1144950,2024-08-06T09:15:10+05:30
119.95,124.3,119.95,124.3,43300,2024-08-06 09:15:15,1144950,2024-08-06T09:15:15+05:30
124.95,128.4,124.95,128.2,100500,2024-08-06 09:15:20,1144950,2024-08-06T09:15:20+05:30
131.45,131.5,130.3,131.5,56150,2024-08-06 09:15:25,1144950,2024-08-06T09:15:25+05:30
131.9,131.9,130.95,130.95,74750,2024-08-06 09:15:30,1144950,2024-08-06T09:15:30+05:30
132.3,133.9,132.3,133.75,55625,2024-08-06 09:15:35,1144950,2024-08-06T09:15:35+05:30
132.6,132.75,131.95,131.95,80650,2024-08-06 09:15:40,1195650,2024-08-06T09:15:40+05:30
131.85,133.45,131.0,133.45,59850,2024-08-06 09:15:45,1195650,2024-08-06T09:15:45+05:30
130.85,131.05,129.95,130.0,73050,2024-08-06 09:15:50,1195650,2024-08-06T09:15:50+05:30
128.8,129.75,128.0,129.4,60625,2024-08-06 09:15:55,1195650,2024-08-06T09:15:55+05:30
132.6,133.05,132.45,133.05,55925,2024-08-06 09:16:00,1195650,2024-08-06T09:16:00+05:30
133.85,134.05,132.25,132.25,65750,2024-08-06 09:16:05,1195650,2024-08-06T09:16:05+05:30
133.95,135.3,133.95,135.3,52325,2024-08-06 09:16:10,1195650,2024-08-06T09:16:10+05:30
135.35,135.35,134.75,134.75,59675,2024-08-06 09:16:15,1195650,2024-08-06T09:16:15+05:30
135.25,135.25,133.15,133.15,50100,2024-08-06 09:16:20,1195650,2024-08-06T09:16:20+05:30
134.45,134.45,130.95,130.95,32000,2024-08-06 09:16:25,1195650,2024-08-06T09:16:25+05:30
130.7,132.45,130.7,132.45,35725,2024-08-06 09:16:30,1195650,2024-08-06T09:16:30+05:30
130.3,132.5,130.3,132.5,42375,2024-08-06 09:16:35,1195650,2024-08-06T09:16:35+05:30
132.9,134.8,132.9,134.05,49100,2024-08-06 09:16:40,1195650,2024-08-06T09:16:40+05:30
134.55,134.55,133.1,133.1,31100,2024-08-06 09:16:45,1195650,2024-08-06T09:16:45+05:30
133.7,134.75,133.3,134.75,29400,2024-08-06 09:16:50,1195650,2024-08-06T09:16:50+05:30
134.55,134.55,134.0,134.0,18475,2024-08-06 09:16:55,1195650,2024-08-06T09:16:55+05:30
134.15,134.65,134.15,134.45,21525,2024-08-06 09:17:00,1195650,2024-08-06T09:17:00+05:30
134.45,134.45,133.45,134.4,34075,2024-08-06 09:17:05,1195650,2024-08-06T09:17:05+05:30
134.6,134.8,134.35,134.5,22225,2024-08-06 09:17:10,1195650,2024-08-06T09:17:10+05:30
134.65,134.95,134.25,134.95,24200,2024-08-06 09:17:15,1195650,2024-08-06T09:17:15+05:30
135.0,135.0,133.35,133.35,23325,2024-08-06 09:17:20,1195650,2024-08-06T09:17:20+05:30
134.05,134.5,134.05,134.25,16025,2024-08-06 09:17:25,1195650,2024-08-06T09:17:25+05:30
134.0,135.0,134.0,134.9,22400,2024-08-06 09:17:30,1195650,2024-08-06T09:17:30+05:30
135.6,136.65,135.4,136.4,47000,2024-08-06 09:17:35,1195650,2024-08-06T09:17:35+05:30
136.8,137.95,136.8,137.95,36075,2024-08-06 09:17:40,1195650,2024-08-06T09:17:40+05:30
138.55,138.8,137.6,137.6,51025,2024-08-06 09:17:45,1195650,2024-08-06T09:17:45+05:30
137.8,137.8,137.1,137.4,37675,2024-08-06 09:17:50,1195650,2024-08-06T09:17:50+05:30
138.0,138.25,138.0,138.05,24825,2024-08-06 09:17:55,1195650,2024-08-06T09:17:55+05:30
138.5,139.6,138.5,139.5,42775,2024-08-06 09:18:00,1195650,2024-08-06T09:18:00+05:30
140.2,141.4,140.15,141.4,45400,2024-08-06 09:18:05,1195650,2024-08-06T09:18:05+05:30
140.55,141.35,140.35,141.35,26925,2024-08-06 09:18:10,1195650,2024-08-06T09:18:10+05:30
141.95,141.95,140.75,140.75,47450,2024-08-06 09:18:15,1195650,2024-08-06T09:18:15+05:30
141.45,143.45,140.85,143.45,25725,2024-08-06 09:18:20,1195650,2024-08-06T09:18:20+05:30
144.0,144.95,143.95,144.95,67450,2024-08-06 09:18:25,1195650,2024-08-06T09:18:25+05:30
144.85,145.3,144.8,144.85,34275,2024-08-06 09:18:30,1195650,2024-08-06T09:18:30+05:30
144.35,144.5,142.65,142.65,41875,2024-08-06 09:18:35,1195650,2024-08-06T09:18:35+05:30
141.6,142.25,141.6,141.75,46625,2024-08-06 09:18:40,1425675,2024-08-06T09:18:40+05:30
141.6,141.6,136.2,136.2,84125,2024-08-06 09:18:45,1425675,2024-08-06T09:18:45+05:30
138.75,138.75,137.55,137.55,31200,2024-08-06 09:18:50,1425675,2024-08-06T09:18:50+05:30
135.85,135.85,132.65,132.65,56775,2024-08-06 09:18:55,1425675,2024-08-06T09:18:55+05:30
132.2,134.4,132.2,134.4,48525,2024-08-06 09:19:00,1425675,2024-08-06T09:19:00+05:30
136.35,137.9,136.35,137.0,42575,2024-08-06 09:19:05,1425675,2024-08-06T09:19:05+05:30
137.85,139.8,137.85,139.15,24175,2024-08-06 09:19:10,1425675,2024-08-06T09:19:10+05:30
139.75,140.65,139.5,140.65,44975,2024-08-06 09:19:15,1425675,2024-08-06T09:19:15+05:30
141.5,141.5,140.1,140.1,37625,2024-08-06 09:19:20,1425675,2024-08-06T09:19:20+05:30
141.65,141.65,140.35,140.35,44350,2024-08-06 09:19:25,1425675,2024-08-06T09:19:25+05:30
140.35,141.55,140.35,141.55,29700,2024-08-06 09:19:30,1425675,2024-08-06T09:19:30+05:30
141.25,142.9,141.25,142.9,39575,2024-08-06 09:19:35,1425675,2024-08-06T09:19:35+05:30
144.25,144.25,142.1,142.1,60225,2024-08-06 09:19:40,1425675,2024-08-06T09:19:40+05:30
141.75,142.7,141.6,142.7,35200,2024-08-06 09:19:45,1425675,2024-08-06T09:19:45+05:30
142.0,142.1,141.4,141.55,31600,2024-08-06 09:19:50,1425675,2024-08-06T09:19:50+05:30
140.9,141.15,140.25,141.15,49900,2024-08-06 09:19:55,1425675,2024-08-06T09:19:55+05:30
136.8,136.8,136.15,136.15,95450,2024-08-06 09:20:00,1425675,2024-08-06T09:20:00+05:30
135.65,136.4,134.5,134.5,62550,2024-08-06 09:20:05,1425675,2024-08-06T09:20:05+05:30
134.25,135.8,133.6,135.8,26650,2024-08-06 09:20:10,1425675,2024-08-06T09:20:10+05:30
136.0,136.3,135.15,136.0,35900,2024-08-06 09:20:15,1425675,2024-08-06T09:20:15+05:30
137.4,137.4,135.85,135.9,23150,2024-08-06 09:20:20,1425675,2024-08-06T09:20:20+05:30
136.5,138.0,136.35,138.0,26500,2024-08-06 09:20:25,1425675,2024-08-06T09:20:25+05:30
137.35,137.7,137.05,137.7,21975,2024-08-06 09:20:30,1425675,2024-08-06T09:20:30+05:30
138.3,138.3,137.35,138.15,27625,2024-08-06 09:20:35,1425675,2024-08-06T09:20:35+05:30
137.7,138.45,137.4,137.65,17775,2024-08-06 09:20:40,1425675,2024-08-06T09:20:40+05:30
138.0,140.25,138.0,139.3,22000,2024-08-06 09:20:45,1425675,2024-08-06T09:20:45+05:30
138.7,139.25,138.7,139.25,16700,2024-08-06 09:20:50,1425675,2024-08-06T09:20:50+05:30
139.8,140.8,139.65,140.25,24150,2024-08-06 09:20:55,1425675,2024-08-06T09:20:55+05:30
142.05,142.05,141.4,141.9,54775,2024-08-06 09:21:00,1425675,2024-08-06T09:21:00+05:30
142.4,142.4,141.3,141.85,26400,2024-08-06 09:21:05,1425675,2024-08-06T09:21:05+05:30
141.8,142.2,141.4,141.65,30525,2024-08-06 09:21:10,1425675,2024-08-06T09:21:10+05:30
142.0,142.8,142.0,142.4,27100,2024-08-06 09:21:15,1425675,2024-08-06T09:21:15+05:30
143.35,146.6,143.1,146.6,114575,2024-08-06 09:21:20,1425675,2024-08-06T09:21:20+05:30
147.4,151.75,147.4,151.75,104050,2024-08-06 09:21:25,1425675,2024-08-06T09:21:25+05:30
151.4,155.75,151.4,155.75,99525,2024-08-06 09:21:30,1425675,2024-08-06T09:21:30+05:30
157.05,162.95,157.05,162.95,150500,2024-08-06 09:21:35,1425675,2024-08-06T09:21:35+05:30
163.0,164.9,163.0,164.25,97575,2024-08-06 09:21:40,1655475,2024-08-06T09:21:40+05:30
166.6,167.25,165.05,165.05,128350,2024-08-06 09:21:45,1655475,2024-08-06T09:21:45+05:30
165.95,167.65,163.1,163.1,114350,2024-08-06 09:21:50,1655475,2024-08-06T09:21:50+05:30
165.15,167.4,165.15,167.4,104850,2024-08-06 09:21:55,1655475,2024-08-06T09:21:55+05:30
167.3,167.4,166.05,167.4,98325,2024-08-06 09:22:00,1655475,2024-08-06T09:22:00+05:30
165.2,167.2,164.55,165.75,67600,2024-08-06 09:22:05,1655475,2024-08-06T09:22:05+05:30
166.1,166.6,165.15,165.15,52925,2024-08-06 09:22:10,1655475,2024-08-06T09:22:10+05:30
165.0,167.3,165.0,166.05,76100,2024-08-06 09:22:15,1655475,2024-08-06T09:22:15+05:30
168.0,168.0,166.55,167.25,51425,2024-08-06 09:22:20,1655475,2024-08-06T09:22:20+05:30
166.9,166.9,164.35,164.35,41875,2024-08-06 09:22:25,1655475,2024-08-06T09:22:25+05:30
166.5,166.8,165.5,166.2,29575,2024-08-06 09:22:30,1655475,2024-08-06T09:22:30+05:30
165.55,165.55,161.1,161.1,52150,2024-08-06 09:22:35,1655475,2024-08-06T09:22:35+05:30
159.3,161.35,157.7,161.35,122900,2024-08-06 09:22:40,1655475,2024-08-06T09:22:40+05:30
161.85,164.25,161.85,164.05,23100,2024-08-06 09:22:45,1655475,2024-08-06T09:22:45+05:30
164.7,165.0,162.45,162.45,36700,2024-08-06 09:22:50,1655475,2024-08-06T09:22:50+05:30
163.25,163.25,162.5,162.8,31575,2024-08-06 09:22:55,1655475,2024-08-06T09:22:55+05:30
161.0,161.0,158.65,158.65,52200,2024-08-06 09:23:00,1655475,2024-08-06T09:23:00+05:30
157.4,159.7,157.4,159.7,25700,2024-08-06 09:23:05,1655475,2024-08-06T09:23:05+05:30
160.7,161.8,160.45,160.45,26625,2024-08-06 09:23:10,1655475,2024-08-06T09:23:10+05:30
160.5,162.35,160.5,162.35,29025,2024-08-06 09:23:15,1655475,2024-08-06T09:23:15+05:30
162.95,163.5,162.65,162.65,20350,2024-08-06 09:23:20,1655475,2024-08-06T09:23:20+05:30
162.55,162.55,161.6,161.75,19975,2024-08-06 09:23:25,1655475,2024-08-06T09:23:25+05:30
161.2,161.6,160.2,161.6,12825,2024-08-06 09:23:30,1655475,2024-08-06T09:23:30+05:30
159.75,160.05,159.35,159.35,25325,2024-08-06 09:23:35,1655475,2024-08-06T09:23:35+05:30
158.8,158.8,157.35,157.35,23925,2024-08-06 09:23:40,1655475,2024-08-06T09:23:40+05:30
156.4,156.4,154.8,154.8,32425,2024-08-06 09:23:45,1655475,2024-08-06T09:23:45+05:30
155.65,155.65,154.65,155.6,38875,2024-08-06 09:23:50,1655475,2024-08-06T09:23:50+05:30
154.0,154.0,151.8,152.05,39750,2024-08-06 09:23:55,1655475,2024-08-06T09:23:55+05:30
149.4,152.05,149.4,152.05,62500,2024-08-06 09:24:00,1655475,2024-08-06T09:24:00+05:30
152.0,152.0,145.5,145.5,44300,2024-08-06 09:24:05,1655475,2024-08-06T09:24:05+05:30
146.9,147.25,146.5,146.85,37375,2024-08-06 09:24:10,1655475,2024-08-06T09:24:10+05:30
147.35,147.35,146.7,147.0,25900,2024-08-06 09:24:15,1655475,2024-08-06T09:24:15+05:30
