open,high,low,close,volume,time,oi,time_str
100.05,100.05,57.35,57.35,16475,2024-08-06 09:15:00,599225,2024-08-06T09:15:00+05:30
54.35,54.35,45.8,45.8,35050,2024-08-06 09:15:05,599225,2024-08-06T09:15:05+05:30
43.0,43.0,36.75,36.75,24400,2024-08-06 09:15:10,599225,2024-08-06T09:15:10+05:30
38.8,40.3,38.8,39.6,33300,2024-08-06 09:15:15,599225,2024-08-06T09:15:15+05:30
40.3,40.3,38.6,39.45,16500,2024-08-06 09:15:20,599225,2024-08-06T09:15:20+05:30
39.8,40.55,38.4,38.45,21500,2024-08-06 09:15:25,599225,2024-08-06T09:15:25+05:30
39.4,41.25,39.2,39.6,15225,2024-08-06 09:15:30,599225,2024-08-06T09:15:30+05:30
39.5,40.4,37.9,37.9,23325,2024-08-06 09:15:35,599225,2024-08-06T09:15:35+05:30
39.8,45.55,39.8,41.6,34200,2024-08-06 09:15:40,599225,2024-08-06T09:15:40+05:30
42.3,42.55,42.25,42.25,17825,2024-08-06 09:15:45,599225,2024-08-06T09:15:45+05:30
42.6,43.2,42.1,42.1,12375,2024-08-06 09:15:50,619800,2024-08-06T09:15:50+05:30
42.2,43.5,42.2,43.35,13750,2024-08-06 09:15:55,619800,2024-08-06T09:15:55+05:30
43.2,43.2,42.7,42.7,12475,2024-08-06 09:16:00,619800,2024-08-06T09:16:00+05:30
43.05,43.65,43.0,43.45,11525,2024-08-06 09:16:05,619800,2024-08-06T09:16:05+05:30
44.8,44.8,43.6,43.95,16100,2024-08-06 09:16:10,619800,2024-08-06T09:16:10+05:30
43.65,46.15,43.65,46.15,9325,2024-08-06 09:16:15,619800,2024-08-06T09:16:15+05:30
46.8,47.5,46.7,47.1,32175,2024-08-06 09:16:20,619800,2024-08-06T09:16:20+05:30
48.0,48.8,47.9,48.8,6225,2024-08-06 09:16:25,619800,2024-08-06T09:16:25+05:30
48.75,49.65,48.15,49.65,13325,2024-08-06 09:16:30,619800,2024-08-06T09:16:30+05:30
51.25,51.25,49.6,49.6,10150,2024-08-06 09:16:35,619800,2024-08-06T09:16:35+05:30
48.75,48.8,48.4,48.7,10650,2024-08-06 09:16:40,619800,2024-08-06T09:16:40+05:30
47.9,49.05,47.9,48.55,12900,2024-08-06 09:16:45,619800,2024-08-06T09:16:45+05:30
48.9,48.9,48.3,48.3,7600,2024-08-06 09:16:50,619800,2024-08-06T09:16:50+05:30
48.0,48.8,47.8,48.8,8700,2024-08-06 09:16:55,619800,2024-08-06T09:16:55+05:30
48.85,49.2,48.2,49.2,35125,2024-08-06 09:17:00,619800,2024-08-06T09:17:00+05:30
49.25,49.35,48.7,48.7,15700,2024-08-06 09:17:05,619800,2024-08-06T09:17:05+05:30
47.8,48.5,47.8,48.15,8675,2024-08-06 09:17:10,619800,2024-08-06T09:17:10+05:30
48.25,48.3,47.5,47.5,11175,2024-08-06 09:17:15,619800,2024-08-06T09:17:15+05:30
47.85,48.9,47.55,48.9,10850,2024-08-06 09:17:20,619800,2024-08-06T09:17:20+05:30
48.75,48.8,48.3,48.5,13650,2024-08-06 09:17:25,619800,2024-08-06T09:17:25+05:30
48.35,48.35,47.3,47.3,19300,2024-08-06 09:17:30,619800,2024-08-06T09:17:30+05:30
47.0,47.5,46.8,47.35,8525,2024-08-06 09:17:35,619800,2024-08-06T09:17:35+05:30
47.2,48.25,47.2,47.95,10650,2024-08-06 09:17:40,619800,2024-08-06T09:17:40+05:30
47.75,48.25,47.7,48.25,5125,2024-08-06 09:17:45,619800,2024-08-06T09:17:45+05:30
49.0,50.0,49.0,50.0,9950,2024-08-06 09:17:50,619800,2024-08-06T09:17:50+05:30
49.2,49.5,48.65,48.65,6950,2024-08-06 09:17:55,619800,2024-08-06T09:17:55+05:30
48.45,48.65,48.45,48.5,5350,2024-08-06 09:18:00,619800,2024-08-06T09:18:00+05:30
48.3,48.3,47.75,47.85,7300,2024-08-06 09:18:05,619800,2024-08-06T09:18:05+05:30
47.6,47.95,47.25,47.25,4225,2024-08-06 09:18:10,619800,2024-08-06T09:18:10+05:30
47.25,47.25,47.1,47.2,18450,2024-08-06 09:18:15,619800,2024-08-06T09:18:15+05:30
47.1,47.1,45.55,45.55,8600,2024-08-06 09:18:20,619800,2024-08-06T09:18:20+05:30
46.3,46.3,45.75,46.2,7000,2024-08-06 09:18:25,619800,2024-08-06T09:18:25+05:30
46.3,46.3,45.6,45.6,5775,2024-08-06 09:18:30,619800,2024-08-06T09:18:30+05:30
46.05,47.0,46.05,46.85,7575,2024-08-06 09:18:35,619800,2024-08-06T09:18:35+05:30
47.15,47.25,46.55,47.25,8050,2024-08-06 09:18:40,619800,2024-08-06T09:18:40+05:30
47.25,48.2,47.25,47.8,5175,2024-08-06 09:18:45,619800,2024-08-06T09:18:45+05:30
47.35,48.1,47.35,48.1,4750,2024-08-06 09:18:50,611250,2024-08-06T09:18:50+05:30
48.4,48.65,48.25,48.65,9925,2024-08-06 09:18:55,611250,2024-08-06T09:18:55+05:30
48.6,48.6,46.75,46.75,9225,2024-08-06 09:19:00,611250,2024-08-06T09:19:00+05:30
46.2,46.45,46.15,46.15,5125,2024-08-06 09:19:05,611250,2024-08-06T09:19:05+05:30
45.85,45.85,45.2,45.55,6450,2024-08-06 09:19:10,611250,2024-08-06T09:19:10+05:30
45.8,46.0,45.7,45.7,2550,2024-08-06 09:19:15,611250,2024-08-06T09:19:15+05:30
45.05,46.45,45.05,46.45,3350,2024-08-06 09:19:20,611250,2024-08-06T09:19:20+05:30
46.05,46.75,46.05,46.65,2450,2024-08-06 09:19:25,611250,2024-08-06T09:19:25+05:30
47.05,47.05,46.6,46.6,5175,2024-08-06 09:19:30,611250,2024-08-06T09:19:30+05:30
46.4,46.4,45.95,45.95,4275,2024-08-06 09:19:35,611250,2024-08-06T09:19:35+05:30
45.6,46.8,45.6,46.8,4500,2024-08-06 09:19:40,611250,2024-08-06T09:19:40+05:30
